l.nm,25-espolon,27-espolon,5-sm,22-arette,2-pueblo-viejo,3-san-matias,9-tres alegres,26-espolon,15-don-eduardo,24-espolon,7-sm,17-herradura1,11-quiote,10-centenario-plata,b37,26,28,16,17,mh1,mh2,mh3,blanco55,blanco54,28a,b38,n4,n5,n5a,n9,p6a,n7,n12,n8,n11a,n13,n10,n6,p13,p12,p5,p7,p8a,p9,p6,p8,p4
312,0.2025,0.3015,0.3441,0.091,0.1112,0.3039,0.1713,0.9682,0.4608,0.1809,0.1277,0.1075,0.1112,0.1318,0.0524,0.2011,0.2278,0.0613,0.0854,0.648,0.596,0.0972,0.7894,0.0226,0.2266,0.0238,0.022,0.0338,0.025,0.0263,0.0287,0.2805,0.3676,0.3105,0.3336,0.3744,0.0194,0.3921,0.0194,0.2289,0.4044,0.0437,0.0249,0.024,0.0367,0.0309,0.341
312.5,0.1931,0.2869,0.3265,0.0859,0.1078,0.2928,0.1684,0.9588,0.4348,0.1724,0.1221,0.1024,0.1078,0.1253,0.0497,0.1928,0.215,0.0579,0.0809,0.6255,0.575,0.0917,0.7604,0.0215,0.2124,0.0226,0.0204,0.0323,0.024,0.0249,0.0274,0.265,0.3488,0.2934,0.3147,0.3528,0.0184,0.3691,0.018,0.2154,0.3814,0.042,0.0237,0.0228,0.035,0.0292,0.322
313,0.1853,0.2742,0.3112,0.0817,0.1048,0.2827,0.1658,0.9505,0.4123,0.165,0.117,0.098,0.1048,0.12,0.0476,0.1858,0.2034,0.0552,0.0772,0.6061,0.5572,0.0868,0.735,0.0206,0.2,0.0219,0.019,0.0315,0.0232,0.024,0.0266,0.2518,0.3322,0.2785,0.2986,0.334,0.0177,0.3491,0.017,0.2035,0.3615,0.0402,0.0227,0.0217,0.0334,0.0282,0.3046
313.5,0.1761,0.2599,0.2947,0.0772,0.1018,0.2722,0.1629,0.9411,0.3875,0.1568,0.1112,0.0932,0.1018,0.1139,0.045,0.1783,0.1912,0.0524,0.073,0.5844,0.5368,0.0816,0.7068,0.0198,0.186,0.0207,0.0178,0.0302,0.022,0.023,0.0256,0.2371,0.314,0.2622,0.2809,0.3128,0.0169,0.3269,0.0158,0.1907,0.3391,0.0382,0.0215,0.0198,0.0318,0.0264,0.2857
314,0.1688,0.248,0.2813,0.0735,0.099,0.2632,0.1603,0.9322,0.367,0.15,0.1066,0.0892,0.099,0.1087,0.043,0.1716,0.1808,0.0497,0.0698,0.5664,0.5202,0.0778,0.6836,0.0188,0.175,0.0198,0.0168,0.0297,0.0212,0.022,0.0247,0.2247,0.2985,0.2486,0.266,0.2954,0.0161,0.3085,0.0147,0.1798,0.321,0.0366,0.0205,0.0188,0.0302,0.0254,0.2702
314.5,0.1616,0.2358,0.2678,0.0696,0.0961,0.254,0.1575,0.9242,0.3463,0.143,0.1022,0.0851,0.0961,0.1036,0.0409,0.1651,0.1703,0.0472,0.0659,0.5479,0.5033,0.0733,0.6596,0.018,0.1633,0.0192,0.0155,0.0285,0.0201,0.0208,0.0235,0.2123,0.2833,0.2345,0.2507,0.2778,0.0153,0.2899,0.0135,0.169,0.3022,0.0351,0.0195,0.0178,0.0287,0.024,0.2545
315,0.1546,0.2244,0.2551,0.0661,0.0934,0.2456,0.1553,0.9154,0.3274,0.1367,0.0978,0.0812,0.0934,0.0989,0.0388,0.1591,0.1608,0.0449,0.0629,0.5306,0.487,0.0696,0.6375,0.0173,0.1529,0.0186,0.0145,0.0275,0.0192,0.0199,0.0228,0.2003,0.2687,0.2216,0.2366,0.2608,0.0147,0.2721,0.0128,0.1585,0.2844,0.0337,0.0188,0.0166,0.0276,0.0232,0.2394
315.5,0.1472,0.2121,0.242,0.0625,0.0906,0.2366,0.1528,0.9062,0.3074,0.1296,0.0934,0.0771,0.0906,0.0935,0.0372,0.1526,0.1506,0.0425,0.0594,0.5123,0.4701,0.0656,0.6139,0.0164,0.1411,0.0176,0.0134,0.0264,0.0186,0.0189,0.0218,0.188,0.2537,0.2078,0.2218,0.2436,0.0143,0.2536,0.0118,0.1475,0.266,0.0322,0.0176,0.0153,0.0261,0.0219,0.2238
316,0.1414,0.2026,0.2312,0.0593,0.0883,0.2292,0.1506,0.8987,0.2914,0.1241,0.0896,0.0736,0.0883,0.0895,0.0353,0.1473,0.1425,0.0407,0.0569,0.4977,0.4567,0.062,0.5945,0.0156,0.1322,0.0171,0.0123,0.0261,0.0181,0.0184,0.0212,0.178,0.2411,0.1968,0.21,0.2294,0.0138,0.2384,0.0114,0.1392,0.2514,0.0312,0.0168,0.0145,0.0251,0.0212,0.2111
316.5,0.1351,0.1918,0.2204,0.0562,0.086,0.2212,0.1481,0.8906,0.2745,0.118,0.086,0.0702,0.086,0.0851,0.0336,0.1419,0.1338,0.0385,0.0537,0.4819,0.4421,0.058,0.5746,0.0148,0.1224,0.0164,0.0114,0.025,0.017,0.0174,0.0202,0.1671,0.2283,0.1851,0.1974,0.2146,0.0129,0.2232,0.0103,0.13,0.2358,0.0294,0.0164,0.0134,0.0237,0.0202,0.198
